,name,github_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing
0,blimpy,UCBerkeleySETI/blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2020-12-26 04:48:33,2020-12-26 04:48:32,25.0,19.0,75.0,25.0,1324,2019-10-04 01:37:36,1.4.1,3.0,Breakthrough Listen I/O Methods for Python.,20.0,20.0,22.0,18,1
1,presto,scottransom/presto,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,,2009-09-29 21:35:23,2020-12-28 23:30:19,2020-12-28 23:30:14,134.0,18.0,26.0,138.0,2690,2020-02-01 18:33:12,3.0.1,4.0,Open source pulsar search and analysis toolkit.,14.0,14.0,35.0,16,1
2,Frbpoppy,davidgardenier/frbpoppy,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/davidgardenier/frbpoppy,MIT,2017-01-03 11:02:10,2020-12-18 08:25:52,2020-12-18 08:25:51,6.0,18.0,36.0,16.0,460,2020-12-11 15:07:36,2.1.0,3.0,Fast Radio Burst Population Synthesis in Python.,,,4.0,13,1
3,your,thepetabyteproject/your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2020-11-25 16:40:11,2020-11-25 16:39:36,9.0,1.0,35.0,12.0,565,2020-11-12 14:02:03,0.6.0,10.0,Your Unified Reader.,9.0,9.0,10.0,13,3
4,RM-Tools,CIRADA-Tools/RM-Tools,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2020-12-17 21:17:46,2020-10-23 13:02:54,8.0,14.0,11.0,10.0,78,2020-08-13 21:02:17,1.0.5,6.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",,,7.0,12,1
5,rfpipe,realfastvla/rfpipe,['python'],Search,True,https://realfastvla.github.io/rfpipe/,https://github.com/realfastvla/rfpipe,BSD-3-Clause,2016-07-15 21:01:44,2020-12-17 22:26:43,2020-12-10 15:03:47,3.0,19.0,36.0,5.0,1332,,,,Fast radio interferometric transient search pipeline.,1.0,1.0,11.0,11,3
6,Amber,TRASAL/AMBER,['C++'],Search,True,http://alert.eu/,https://github.com/TRASAL/AMBER,Apache-2.0,2015-03-27 14:59:41,2020-11-17 12:48:21,2020-11-17 12:48:15,1.0,,13.0,1.0,726,2020-09-25 14:26:34,3.0.1,3.0,"A many-core transient searching pipeline, designed to search in real-time for Fast Radio Bursts.",,,4.0,11,3
7,fetch,devanshkv/fetch,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2020-06-27 21:16:51,2020-06-27 21:16:50,11.0,,11.0,11.0,55,2020-06-24 01:11:43,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,6.0,6.0,4.0,9,1
8,RFIm,TRASAL/RFIm,['C++'],rfi,True,https://github.com/TRASAL/RFIm,https://github.com/TRASAL/RFIm,Apache-2.0,2019-01-11 12:04:09,2020-11-17 13:05:51,2020-11-17 12:35:14,2.0,3.0,3.0,1.0,196,2020-07-29 12:27:29,1.0,1.0,Radio Frequency Interference (RFI) mitigation algorithms.,,,6.0,8,1
9,frbcat,davidgardenier/frbcat,['python'],catalog,True,https://github.com/davidgardenier/frbcat,https://github.com/davidgardenier/frbcat,MIT,2020-02-19 15:03:56,2020-11-29 16:14:19,2020-11-29 16:14:18,2.0,3.0,,11.0,32,,,,Query Fast Radio Burst catalogues.,1.0,1.0,1.0,7,1
