,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2021-02-15 21:58:09,2021-02-15 21:58:09,27.0,17.0,76.0,28.0,1326.0,2020-12-07 01:50:29,2.0.2,13.0,Breakthrough Listen I/O Methods for Python.,28.0,22.0,22.0,20,https://pypi.org/project/blimpy,2020-12-07 01:50:29,6.0,128.0,128.0,1,,
1,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,,2009-09-29 21:35:23,2021-02-23 18:14:45,2021-02-23 18:14:40,135.0,18.0,27.0,140.0,2706.0,2020-02-01 18:33:12,3.0.1,4.0,Open source pulsar search and analysis toolkit.,15.0,15.0,35.0,16,,,,,,1,,
2,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06,2021-02-19 16:13:34,2021-02-19 14:35:10,10.0,13.0,112.0,22.0,1133.0,2020-11-20 16:43:08,1.8.1,25.0,AstroAccelerate is a many core accelerated software package for processing time domain radio-astronomy data.,,,22.0,15,,,,,,2,,
3,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08,2020-10-19 16:38:34,2020-10-19 16:38:25,11.0,8.0,27.0,20.0,433.0,2020-10-19 16:32:18,1.0.11,39.0,A python module to query the ATNF pulsar catalogue.,9.0,9.0,4.0,15,https://pypi.org/project/psrqpy,2020-10-19 16:30:21,0.0,159.0,159.0,1,,
4,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2021-02-22 18:21:34,2021-02-18 19:29:37,10.0,1.0,36.0,12.0,603.0,2021-02-09 15:56:13,0.6.3,12.0,Your Unified Reader.,9.0,9.0,10.0,14,https://pypi.org/project/your,2021-02-09 15:56:13,,86.0,86.0,2,,
5,Frbpoppy,davidgardenier/frbpoppy,,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/davidgardenier/frbpoppy,MIT,2017-01-03 11:02:10,2020-12-18 08:25:52,2020-12-18 08:25:51,6.0,,36.0,17.0,460.0,2020-12-11 15:07:36,2.1.0,3.0,Fast Radio Burst Population Synthesis in Python.,,,4.0,13,,,,,,1,,
6,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2021-02-16 16:07:37,2021-02-16 16:04:52,8.0,15.0,12.0,13.0,94.0,2021-02-16 16:07:37,1.1.0,7.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",,,7.0,12,,,,,,1,,
7,rfpipe,realfastvla/rfpipe,,['python'],Search,True,https://realfastvla.github.io/rfpipe/,https://github.com/realfastvla/rfpipe,BSD-3-Clause,2016-07-15 21:01:44,2021-02-11 21:36:07,2021-02-11 20:47:02,3.0,18.0,36.0,6.0,1332.0,,,,Fast radio interferometric transient search pipeline.,1.0,1.0,11.0,11,,,,,,2,,
8,FRB,FRBs/FRB,,['python'],analysis,True,https://github.com/FRBs/FRB,https://github.com/FRBs/FRB,BSD-3-Clause,2017-03-16 12:26:19,2021-02-25 14:19:11,2021-02-25 14:19:09,8.0,2.0,6.0,26.0,,2019-09-10 09:27:47,1.0.0,1.0,"Python code related to DM calculations, estimations, and analysis.",,,13.0,10,,,,,,2,,
9,fruitbat,abatten/fruitbat,fruitbat,['python'],analysis,True,https://fruitbat.readthedocs.io/,https://github.com/abatten/fruitbat,BSD-3-Clause,2019-02-09 09:52:39,2020-06-05 09:37:03,2019-08-14 04:04:45,4.0,,7.0,9.0,236.0,2019-08-13 09:23:41,1.1.0,5.0,Fast Radio Burst (FRB) Redshift Estimation.,,,2.0,10,https://pypi.org/project/fruitbat,2019-08-13 09:23:41,,8.0,8.0,2,,
10,Amber,TRASAL/AMBER,,['cpp'],Search,True,http://alert.eu/,https://github.com/TRASAL/AMBER,Apache-2.0,2015-03-27 14:59:41,2020-11-17 12:48:21,2020-11-17 12:48:15,1.0,,13.0,1.0,726.0,2020-09-25 14:26:34,3.0.1,3.0,"A many-core transient searching pipeline, designed to search in real-time for Fast Radio Bursts.",,,4.0,10,,,,,,3,,
11,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2020-06-27 21:16:51,2020-06-27 21:16:50,12.0,,11.0,12.0,55.0,2020-06-24 01:11:43,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,6.0,6.0,4.0,9,,,,,,1,,
12,single_pulse_ml,liamconnor/single_pulse_ml,,['python'],ML,True,https://github.com/liamconnor/single_pulse_ml,https://github.com/liamconnor/single_pulse_ml,GPL-2.0,2017-05-02 12:17:52,2020-01-13 18:40:36,2020-01-13 18:42:44,7.0,,,7.0,369.0,2018-10-02 11:30:34,1.0.0,1.0,,,,30.0,9,,,,,,1,,
13,RFIClean,ymaan4/RFIClean,,['C'],rfi,True,https://github.com/ymaan4/RFIClean,https://github.com/ymaan4/RFIClean,,2019-11-15 16:16:58,2021-02-19 09:39:38,2021-02-09 10:12:10,2.0,,1.0,3.0,34.0,2021-02-09 17:05:03,1.2.0,3.0,Mitigation of periodic as well as narrow-band and spiky/bursty RFI from time-domain filterbank data.,,,,9,,,,,,1,,
14,casp,KshitijAggarwal/casp,,['python'],analysis,True,https://github.com/KshitijAggarwal/casp,https://github.com/KshitijAggarwal/casp,BSD-3-Clause,2020-03-12 03:19:24,2021-02-16 17:24:41,2021-02-16 17:24:41,,,,,24.0,2021-02-16 17:22:14,0.1.0,1.0,Calculating Association Probability of FRBs.,,,,9,,,,,,2,,
15,burst_search,kiyo-masui/burst_search,,"['python', 'C']",Search,True,https://github.com/kiyo-masui/burst_search,https://github.com/kiyo-masui/burst_search,GPL-2.0,2014-07-28 20:54:02,2018-04-10 22:34:32,2018-02-27 06:05:03,6.0,1.0,,4.0,297.0,,,,Program to perform real-time and off-line searches for fast radio bursts in GBT GUPPI data.,,,18.0,8,,,,,,3,,
