,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,recent_commit_count,updated_github_id,gitlab_id,gitlab_url
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2022-11-18 14:55:22,2022-11-18 14:55:22,1655.0,43.0,14.0,133.0,11.0,132.0,48.0,2022-11-16 23:29:01.329,2.1.4,47.0,Breakthrough Listen I/O Methods for Python.,54.0,47.0,26.0,20,https://pypi.org/project/blimpy,2022-11-16 23:29:01.329,7.0,575.0,575.0,1.0,,,,
1,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08,2025-06-20 11:04:43,2025-06-20 11:04:39,625.0,25.0,4.0,86.0,3.0,65.0,45.0,2025-01-31 14:01:59.000,1.3.2,61.0,A python module to query the ATNF pulsar catalogue.,47.0,39.0,10.0,20,https://pypi.org/project/psrqpy,2025-01-31 14:01:59.000,8.0,3788.0,3788.0,1.0,6.0,,,
2,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2025-06-27 01:17:30,2025-06-27 01:17:19,750.0,26.0,4.0,62.0,2.0,65.0,38.0,2025-04-27 19:29:34.000,0.6.8,17.0,Your Unified Reader.,61.0,58.0,20.0,20,https://pypi.org/project/your,2022-01-22 20:32:53.000,3.0,297.0,297.0,1.0,18.0,,,
3,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,GPL-2.0,2009-09-29 21:35:23,2025-06-27 22:27:23,2025-06-27 22:27:19,2935.0,176.0,22.0,111.0,35.0,61.0,249.0,2025-02-13 18:01:42.000,5.0.3,9.0,Open source pulsar search and analysis toolkit.,,,43.0,19,,,,,,1.0,6.0,,,
4,FRB,FRBs/FRB,,['python'],analysis,True,https://github.com/FRBs/FRB,https://github.com/FRBs/FRB,BSD-3-Clause,2017-03-16 12:26:19,2025-07-03 19:10:05,2025-06-10 17:08:15,3656.0,27.0,16.0,202.0,5.0,6.0,64.0,2025-02-04 19:37:34.000,2.2,4.0,"Python code related to DM calculations, estimations, and analysis.",,,29.0,17,,,,,,1.0,65.0,,,
5,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2025-07-01 05:32:52,2025-07-01 05:27:03,362.0,23.0,12.0,77.0,22.0,60.0,48.0,2025-07-01 05:32:52.000,1.4.9,22.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",6.0,6.0,16.0,17,,,,,,1.0,10.0,,,
6,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2025-06-10 03:31:58,2025-06-10 02:37:16,71.0,35.0,4.0,13.0,10.0,25.0,49.0,2020-06-24 01:11:43.000,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,64.0,64.0,12.0,14,,,,,,1.0,4.0,,,
7,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06,2025-01-21 09:47:00,2024-10-10 14:03:20,1206.0,17.0,13.0,157.0,5.0,116.0,46.0,2020-11-20 16:43:08.000,1.8.1,25.0,AstroAccelerate is a many-core accelerated software package for processing time-domain radio-astronomy data.,,,23.0,13,,,,,,2.0,,,,
8,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21,2022-12-26 03:35:20,2022-12-26 03:35:20,239.0,18.0,5.0,9.0,4.0,14.0,45.0,2021-07-19 06:36:45.000,3.3.0,5.0,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",16.0,16.0,9.0,11,,,,,,2.0,,,,
9,Frbpoppy,davidgardenier/frbpoppy,,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/TRASAL/frbpoppy,MIT,2017-01-03 11:02:10,2024-09-03 19:19:06,2024-09-03 19:16:33,554.0,9.0,1.0,15.0,18.0,36.0,30.0,2024-09-03 19:19:06.000,2.2.0,4.0,Fast Radio Burst Population Synthesis in Python.,,,7.0,11,,,,,,1.0,,TRASAL/frbpoppy,,
