,name,github_id,pypi_id,labels,category,show,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,gitlab_id,gitlab_url,closed_issue_count
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,54.0,47.0,27.0,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52.000,2022-11-18 14:55:22,17,44.0,14.0,53.0,Breakthrough Listen I/O Methods for Python.,https://pypi.org/project/blimpy,2022-11-16 23:29:01.329,2022-11-16 23:29:01.329,2.1.4,47.0,7.0,2023.0,2023.0,1.0,,,,
1,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,48.0,40.0,12.0,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08.000,2026-02-17 19:16:13,16,27.0,7.0,48.0,A python module to query the ATNF pulsar catalogue.,https://pypi.org/project/psrqpy,2025-01-31 14:01:59.000,2025-01-31 14:01:59.000,1.3.2,61.0,8.0,3246.0,3246.0,1.0,,,,
2,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,64.0,61.0,20.0,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16.000,2025-12-12 22:34:53,15,26.0,4.0,38.0,Your Unified Reader.,https://pypi.org/project/your,2022-01-22 20:32:53.000,2022-01-22 20:32:53.000,0.6.7,11.0,3.0,2868.0,2868.0,2.0,,,,
3,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,,,46.0,https://github.com/scottransom/presto,GPL-2.0,2009-09-29 21:35:23.000,2026-01-27 15:12:44,10,183.0,39.0,267.0,Open source pulsar search and analysis toolkit.,,,,,,,,,1.0,-10.0,,,
4,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,65.0,65.0,12.0,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03.000,2025-07-13 20:04:40,10,39.0,10.0,56.0,A set of deep learning models for FRB/RFI binary classification.,,,,,,,,,1.0,,,,
5,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,7.0,7.0,16.0,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44.000,2026-05-04 06:33:03,10,25.0,28.0,52.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",,,,,,,,,1.0,,,,
6,FRB,FRBs/FRB,,['python'],analysis,True,https://github.com/FRBs/FRB,,,35.0,https://github.com/FRBs/FRB,BSD-3-Clause,2017-03-16 12:26:19.000,2025-07-14 21:28:20,9,29.0,9.0,64.0,"Python code related to DM calculations, estimations, and analysis.",,,,,,,,,2.0,,,,
7,frbgui,mef51/frbgui,frbgui,"['python', 'jupyter']",analysis,True,https://github.com/mef51/frbgui,2.0,2.0,3.0,https://github.com/mef51/frbgui,MIT,2020-12-20 17:47:46.000,2025-10-27 18:11:22,9,1.0,17.0,23.0,A GUI for measuring properties of Fast Radio Bursts.,https://pypi.org/project/frbgui,2025-10-27 18:11:22.000,2025-10-27 18:11:22.000,0.12.0,6.0,,54.0,54.0,2.0,,,,
8,fruitbat,abatten/fruitbat,fruitbat,['python'],analysis,True,https://fruitbat.readthedocs.io/,6.0,6.0,2.0,https://github.com/abatten/fruitbat,BSD-3-Clause,2019-02-09 09:52:39.000,2022-01-11 14:05:19,9,5.0,3.0,17.0,A fast radio burst (FRB) redshift estimation package written in Python.,https://pypi.org/project/fruitbat,2021-07-06 05:12:40.000,2021-07-06 05:12:40.000,2.0.1,6.0,,85.0,85.0,2.0,,,,
9,AstroFlow,lintian233/astroflow,pulseflow,"['python', 'cpp', 'CUDA']",Search,True,https://github.com/lintian233/astroflow,,,1.0,https://github.com/lintian233/astroflow,MIT,2025-03-06 16:19:05.351,2026-05-31 06:30:55,8,,,1.0,"A high-performance C++ library for radio astronomy signal processing, specializing in sigproc filterbank data..",https://pypi.org/project/pulseflow,2026-05-31 06:30:55.000,2026-03-23 07:30:51.000,0.1.11,12.0,,65.0,65.0,2.0,,,,
